rank,movie_title,movie_year,normalized_title,scene_name,normalized_scene_id,timestamp,score,mentions,num_sources,description
1,Ready Player One,2018,ready-player-one,Race scene,ready-player-one--first-race,00:14:00,132.477,33,26,"Green firework starts the race: cacophony of roaring engines, car crashes and explosions; barricades, train, truck and wrecking balls produce surround and height effects; T-Rex stomps and roars in the top layer with vigorous LF; King Kong leaps from building to building."
2,Gravity,2013,gravity,Drifting in Space,gravity--drifting-in-space,00:00:00,75.836,23,17,"Hubble Space Telescope hardware upgrade scene: deafening silence of space against dialogue lines with Houston; debris cloud warning, Steven Price's score builds tension, then debris strikes and voices swirl chaotically from speaker to speaker."
3,Mad Max: Fury Road,2015,mad-max-fury-road,Opening scene,mad-max-fury-road--opening-scene,00:00:00,53.521,17,14,"Voices, music and engine rumblings open the credits; Mad Max is chased, the camera stays still as he disappears, silence falls, then a car launches overhead as ghosts of his past whisper from the sides and heights."
4,The Batman,2022,the-batman,Car chase,the-batman--the-batmobile-chase,01:18:00,46.481,14,13,"Engine roars in shadow, deep LF grumble, high-speed chase: bumps, crashes, screeching tires, passing traffic and horns through the surrounds with some height activity; inside the Penguin's car as it rolls, swirling glass-shattering effects, finishing on Giacchino's Batman theme."
5,A Quiet Place,2018,a-quiet-place,Giving Birth,a-quiet-place--giving-birth,00:58:40,41.936,11,10,"Evelyn steps on a nail and drops a picture frame which shatters with piano-chord LF impact; she switches on the exterior red emergency lights as the monster's breathing/steps move from top-left to top-right height channels, then descend through the stairs to front-left/side/rear surround. Heavy bass throughout."
6,Unbroken,2014,unbroken,Bombing Run,unbroken--bombing-run,00:01:10,38.583,10,9,"Bomber aircraft fly overhead with loud engine drone in heights; inside the aircraft, wind, turbulence, fuselage creaks, intense flak object-based explosions around the room, fighter planes whizzing with spatial accuracy and heavy gunfire booming through the subwoofer."
7,Dune,2021,dune-2021,The Sandworm Reveal,dune-2021--the-sandworm-reveal,01:00:00,34.399,11,11,"Paul and his father fly the ornithopter to oversee the spice harvest, with beating wings and ambient hum, then a dive down to assist. Paul steps onto the sand, granular dust running through his fingers, as the sandworm emerges and they make a mad dash back to the craft."
8,Saving Private Ryan,1998,saving-private-ryan,Storming Omaha Beach,saving-private-ryan--omaha-beach,00:04:32,29.631,10,8,"Atmos remix of the Normandy beach landing, with every gunshot precisely placed and the full chaos of the assault wrapping around the room. One of cinema's most relentless sound sequences."
9,Top Gun: Maverick,2022,top-gun-maverick,Actual flight mission scene,top-gun-maverick--the-mission,01:34:50,29.507,10,10,"Climactic canyon trench run: low bass from jet engines, heights and surrounds as the jets curve through the canyon, bombs on the bunker, then a missile evade with flares; the flare-versus-missile impacts are a standout effect."
10,Baby Driver,2017,baby-driver,The Bellbottoms Bank Job,baby-driver--the-getaway,00:00:00,27.105,9,9,"Longer than a typical demo clip but covers everything Atmos does well: gunshots, screeching tires, driving action; audio is present from the sides, mimicking what Baby hears when his headphones drown out his tinnitus."
