normalized_scene_id,description
mad-max-fury-road--opening-scene,"Voices, music and engine rumblings open the credits; Mad Max is chased, the camera stays still as he disappears, silence falls, then a car launches overhead as ghosts of his past whisper from the sides and heights."
the-batman--the-batmobile-chase,"Engine roars in shadow, deep LF grumble, high-speed chase: bumps, crashes, screeching tires, passing traffic and horns through the surrounds with some height activity; inside the Penguin's car as it rolls, swirling glass-shattering effects, finishing on Giacchino's Batman theme."
dune-2021--the-sandworm-reveal,"Paul and his father fly the ornithopter to oversee the spice harvest, with beating wings and ambient hum, then a dive down to assist. Paul steps onto the sand, granular dust running through his fingers, as the sandworm emerges and they make a mad dash back to the craft."
saving-private-ryan--omaha-beach,"Atmos remix of the Normandy beach landing, with every gunshot precisely placed and the full chaos of the assault wrapping around the room. One of cinema's most relentless sound sequences."
top-gun-maverick--the-mission,"Climactic canyon trench run: low bass from jet engines, heights and surrounds as the jets curve through the canyon, bombs on the bunker, then a missile evade with flares; the flare-versus-missile impacts are a standout effect."
baby-driver--the-getaway,"Longer than a typical demo clip but covers everything Atmos does well: gunshots, screeching tires, driving action; audio is present from the sides, mimicking what Baby hears when his headphones drown out his tinnitus."
blade-runner-2049--opening-scene,"Heights engage from the very start. The score wraps around the listener and ties into the spacecraft flight, fully immersing you in the sci-fi world."
mission-impossible-fallout--helicopter-chase,"Cruise hangs from the swing-load under the H125 helicopter, thunderous blade slap through the heights; Cavill's machine gun blasts from the LF as bullets whip past in the surrounds; a dramatic end with warning alarms and both helicopters coming down."
bohemian-rhapsody--live-aid,"Chapter 8/9 (Extras: Complete Live Aid performance). Freddie sits at the piano for the second half of 'We Are The Champions'; the crowd joins louder with each verse until a cathartic wave rolls through stadium and cinema alike."
1917--no-mans-land-flyover,"When they first go into no-man's-land: five minutes of very quiet build-up while the soldiers try to stay silent, then planes slowly get louder and louder and fly right overhead."
kong-skull-island--opening-flyover,"The film's opening seconds: planes flying and fighting overhead, helicopters swirling, PA announcements and master-caution alarms. The overhead flyover that Atmos owners love."
the-matrix--lobby-shootout,"The lobby shootout from the 4K Atmos remaster: Trinity's wall-run flip with great height movement, the elevator explosion with slow-motion fire, and sprinklers bursting on over the Agents."
midway-2019--uss-arizona-breakup,"Pearl Harbor attack: vintage fighter planes overhead and through the surrounds, bombs falling on ships and igniting fires with deep rumble, gunshot ricochets, and exceptionally heavy bass throughout."
civil-war--battle-for-washington-dc,"Chapters 12-13: the end-of-movie battle, with explosions and gunfire shifting overhead and whipping around the room and bullets whizzing past with precise placement. Among the best Atmos audio of 2024."
kong-skull-island--first-helicopter-encounter,"Kong's first appearance, when he hits the helicopter and the back rotor starts spinning around all the speakers."
ready-player-one--end-battle,"End battle set to 80s music; just before it, a rocket shoots up and blows up the force field, crackle and explosion directly overhead. Less famous than the race but a strong demo moment."
star-wars-the-phantom-menace--podrace,"The podrace sequence, with podracer engines given particularly careful attention in the sound mix."
star-wars-the-force-awakens--jakku-falcon-escape,"Rey, Finn and BB-8 run toward the Millennium Falcon with TIE fighters flying directly overhead and precisely localized, then it continues inside the Falcon with TIE fighters all around plus deep bass."
roma--the-rescue,"Toward the end of the film, the rescue of children from the sea is impressive both technically and sonically, benefiting strongly from Atmos's 3D character."
avengers-endgame--final-battle,"Thor suits up just before the big battle. Lightning cracks as he summons his weapons, with a full surround effect."
hacksaw-ridge--naval-bombardment,"The naval bombardment that opens the ridge assault, with destroyer guns pounding the Japanese positions before the infantry attack."
everest-2015--the-storm,"The storm hits with relentless use of the surrounds and overheads; individual ice and wind elements swirl distinctly around and above for a chilling sense of being trapped on the mountain."
ford-v-ferrari--car-show-plane-overhead,"A plane flies directly overhead during the car show: a clean, striking workout for the height channels."
midway-2019--bombing-the-japanese-fleet,"Americans bomb Japanese ships; retaliatory big-gun thumps and whizzing bullets surround the cockpit from every angle."
angel-has-fallen--drone-attack,"Swarming drones whizz overhead while the President and an agent plunge underwater to evade a drone bomb. The surrounds simulate the pressure and the explosion above is precisely placed."
6-underground--opening-chase,"The film's long opening car chase: a frenetic, gunfire-filled pursuit through the streets of Florence."
incredibles-2--jack-jack-dimension,"Jack-Jack first enters another dimension: a giggling baby crawls around the ceiling from speaker to speaker, very specific sound placement that isn't lost in the chaos."
oblivion-2013--pod-chase,"The bubbleship pursuit, with pronounced height sounds: rain, lightning, water and flight through rugged terrain."
ford-v-ferrari--7000-go-like-hell,"A Le Mans race moment. Engine roars and explosions build a thumping soundtrack that makes you feel like you're driving the race yourself."
ford-v-ferrari--alone-time-with-henry-ford-ii,"Shifts from subtle ambient track sounds (planes, distant mechanics) to the violent mechanical roar of the GT40, balancing Ford II's terrified screams against high-SPL engine noise."
prey-2022--axe-strikes,"Axe strikes ring out across the soundstage, each impact landing distinctly in the front and rear surround channels."
roma--burning-fire-scene,"Trees burn in the field, the crackle of fire placed convincingly overhead in the height channels."
john-wick-chapter-2--catacombs-assassination,"A silent leadup to the assassination shot, then a jarring gunshot impact kicks off the action through a techno-thumping nightclub and into the catacombs chase, with multiple gun signatures (machine guns, shotguns) all around."
sonic-the-hedgehog-2--robot-finale,"The villain's giant robot at the end: the cloning villain laughs and screams while bouncing all around the room, then a huge explosion when the robot falls. Strong room-bouncing localization plus heavy bass."
13-hours--embassy-attack,"The attack on the compound, building to a bus blown up with heavy ordnance; bullets fly right past the head."
spider-man-2-2004--doc-ock-fusion-reactor,"An excellent all-around sound bubble as Doc Ock shows off his arms and fires up the fusion reactor, the lasers firing with a percussive thump."
a-star-is-born-2018--shallow-performance,"Vocals and dynamics. Not a bass demo but a showcase for natural vocal reproduction on a well-balanced system."
gran-turismo--gt-academy-race,"A race with roaring engines, peeling tires and cornering detail; when cars hit the rumble strips beside the track you hear the tire tone shift, plus dirt and gravel flying across the soundfield."
tron-legacy--bike-race,"The light-cycle arena battle: crisp, geometric sound design set to Daft Punk's score, with a very powerful, room-shaking low end."
all-quiet-on-the-western-front-2022--beginning-battle-bomb-and-rubble,"The opening battle, when a bomb blows up next to a running soldier and you hear the rubble rain down above you."
the-lord-of-the-rings-the-two-towers--battle-of-helms-deep,"The Battle of Helm's Deep, the night siege of the fortress, with the remastered mix driving rain, Uruk-hai roars and the wall breach through every channel."
star-trek-into-darkness--klingons-before-khan,"The protagonists are almost captured by Klingons just before Khan shows up; top-tier sound and image."
blade-runner-2049--bee-scene,"Chapter 14/22. Officer K investigates a beehive, a quiet scene save for one dramatic bass note. The immersive Atmos mix is famous for making demo audiences swat at the air around them."
the-hobbit-an-unexpected-journey--goblin-tunnel-chase,"The goblin-tunnel chase, with thunderous bass and strong height effects as the rickety walkways collapse."
wolf-man-2025--universal-logo-opening,"From the Universal Studios logo onward, the opening builds an enveloping, immersive Atmos atmosphere."
godzilla-king-of-the-monsters--fight-at-41min,"Aircraft flight to Antarctica (engine rumble through the heights and surrounds), Ospreys deploy with thunderous blade slap, facility echo, firefight, ice-wall bomb detonation, Ghidorah awakens with roars and lightning blasts, then Godzilla shows up for a battle with an aircraft missile barrage."
pacific-rim--gypsy-vs-otachi,"The Hong Kong battle: Gipsy Danger versus the kaiju Otachi, the fight tearing through the city with debris and impacts tracking across the surround and height channels."
rogue-one-a-star-wars-story--escape-saw-hideout,"Escape from Saw's hideout, where Atmos makes it feel like the entire cave is crumbling around the listener."
the-lord-of-the-rings-the-fellowship-of-the-ring--mines-of-moria,"Caverns, slaughtered dwarves, orcs surrounding the Fellowship, arrows flying, the cave-troll fight, then the Balrog stomping in. A longtime demo favourite that works the sides, surrounds and subwoofer."
