normalized_scene_id,timestamp,source_url
a-quiet-place--raccoons-on-roof,00:20:26,https://wheresthejump.com/jump-scares-in-a-quiet-place-2018/
jurassic-park--t-rex-breakout-rain,01:03:01,https://kinolab.org/Film.php?id=225
saving-private-ryan--omaha-beach,00:04:32,curator-verified
baby-driver--the-getaway,00:00:00,opening scene (convention)
1917--no-mans-land-flyover,00:42:25,curator-verified
see--opening-titles,00:00:00,opening scene (convention)
overlord-2018--plane-opening,00:00:00,opening scene (convention)
wolf-man-2025--universal-logo-opening,00:00:00,opening scene (convention)
belfast--opening-scene,00:00:00,opening scene (convention)
avengers-endgame--final-battle,02:12:50,curator-verified
sinners--united-by-song,00:54:20,curator-verified
the-power-of-the-dog--the-duelling-banjo,00:47:00,curator-verified
soul--the-great-before-vs-new-york,00:11:35,curator-verified
incredibles-2--jack-jack-dimension,01:05:30,curator-verified
1917--mine-shaft-collapsing,00:27:50,curator-verified
